X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
college,だいがく,this one,これ,movie,えいが - 映画,game,ゲーム,food,たべもの - 食べ物,kanji; Chinese character,か ん じ - 漢字,family,かぞく - 家族,sunny weather,はれ - 晴れ,word; vocabulary,たんご - 単語 ,season,きせつ - 季節
major,せんこう,that one,それ,music,おんがく - 音楽,part-time job,アルバイト,drink,のみもの - 飲み物,textbook,きょうかしょ - 教科書   ,grandfather; old man,おじいさん,rain,あめ - 雨,essay; composition,さくぶん - 作文,spring,はる - 春
teacher/professor,せんせい,that one (over there),あれ,magazine,ざっし - 雑誌,shopping,かいもの - 買い物,fruit,くだもの - 果物,page,ページ,grandmother; old woman,おばあさん,cloudy weather,くもり - 曇り,exam,しけん - 試験,fall; autumn,あき - 秋
high-school,こうこう,which one,どれ,sports,スポーツ,class,クラス,holiday; day off; absence,やすみ - 休み,next,つぎ - 次 ,older brother,おにいさん - お兄さん,snow,ゆき - 雪,letter,てがみ - 手紙,cow,うし - 牛
student,がくせい,this...,この,date (romantic - not calendar),デート,dog,いぬ - 犬,travel,りょこう - 旅行,money,おかね - お金,older sister,おねえさん - お姉さん,weather forecast,てんきよほう - 天気予報,e-mail,メール,milk,ぎゅうにゅう - 牛乳
college student,だいがくせい,that...,その,tennis,テニス,cat,ねこ - 猫,sea,うみ - 海,baggage,にもつ - 荷物,(my) father,父 - ちち,temperature (for weather),きおん - 気温,guitar,ギター,cake,ケーキ
international student,りゅうがくせい,that...(over there),あの,TV,テレビ,person,ひと - 人,surfing,サーフィン,personal computer,パソコン,(my) mother,母 - はは,summer,なつ - 夏,piano,ピアノ,sushi,すし
...year student,~ねんせい,which...,どの,ice cream,アイスクリーム,child,こども - 子供,souvenir,おみやげ,shower,シャワー,(my) older brother,兄 - あに,winter,ふゆ - 冬,concert,コンサート,tempura,てんぷら - 天ぷら
first year student,いちねんせい,here,ここ,hamburger,ハンバーガー,you,あなた,bus,バス,air conditioner,エアコン,(my) older sister,姉 - あね,this morning,けさ - 今朝,ticket,チケット,apple,りんご
I,わたし-私,there,そこ,sake; alcoholic drink,おさけ,chair,いす - 椅子,weather,てんき - 天気,electricity; light,でんき - 電気,younger sister,妹 -  いもうと,the day after tomorrow,おさって,Kabuki; traditional Japanese theatrical art,かぶき - 歌舞伎,cooking; cuisine,りょうり - 料理
friend,ともだち,over there,あそこ,green tea,おちゃ,desk,つくえ - 机,homework,しゅくだい - 宿題,window,まど - 窓,younger brother,弟 - おとうと,every week,まいしゅう - 毎週,ski,スキー,soccer,サッカー
Mr./Mrs...,~さん,where,どこ,coffee,コーヒー,picture; photograph,しゃしん - 写真,test,テスト,train,でんしゃ - 電車,brothers and sisters,兄弟 - きょうだい,this month,こんげつ - 今月,boxed lunch,おべんとう - お弁当,baseball,やきゅう - 野球
...people,~じん,who,だれ,water,みず - 水,flower,はな - 花,birthday,たんじょうび - 誕生日,country; place of origin,くに - 国,man,男の人 - おとこのひと,next month,らいげつ - 来月,pizza,ピザ,doctor,いしゃ - 医者
Japanese people,にほんじん,delicious,おいしい,breakfast,あさごはん - 朝ご飯,(term) paper,レポート,room,へや - 部屋,this week,こんしゅう - 今週,woman,女の人 - おんなのひと,office worker,かいしゃいん - 会社員,illness; sickness,びょうき - 病気,rich person,おかねもち - お金持ち
now,いま,fish,さかな,lunch,ひるごはん - 昼ご飯,rice; meal,ごはん - ご飯,I (used by men),ぼく/ おれ - 僕 / 俺,next week,らいしゅう - 来週,company,かいしゃ - 会社,job; work; occupation,しごと - 仕事,medicine,くすり - 薬,celebrity,ゆうめいじん - 有名人
A.M,ごぜん,pork cutlet,とんかつ,dinner,ばんごはん - 晩御飯,bread,パン,size L,L サイズ,next year,らいねん - 来年,cafeteria; dining commons (japanese),食堂 - しょくどう,camera,カメラ,good child,いいこ - いい子,face,かお - 顔
P.M,ごご,meat,にく,home; house,いえ - 家,temple,おてら,new,あたらしい - 新しい,night,よる - 夜,department store,デパート,karaoke,からオケ - 空オケ,color,いろ - 色,someone older,としうえ - 年上
o'clock,~じ,menu,メニュー,home; house; my place,うち,park,こうえん - 公園,old (thing),ふるい - 古い,tough (situation),たいへん(な) - 大変,hair,髪 - かみ,place,ところ - 所,near future,こんど - 今度,someone younger,としした - 年下
one o'clock,いちじ,vegetable,やさい,school,がっこう - 学校,supermarket,スーパー,hot (weather),あつい - 暑い,to play; to spend time pleasantly,あそぶ - 遊ぶ,mouth,口 - くち,tomato,トマト,last month,せんげつ - 先月,station,えき - 駅
half,はん-半,umbrella,かさ,cafe,カフェ,bus stop,バステい,cold (weather),さむい - 寒い,to hurry,いそぐ - 急ぐ,eye,目 - め,chopsticks,(お)はし,last year,きょねん - 去年,"Shinkansen; ""Bullet Train""",しんかんせん - 新幹線
half-past two,にじはん,bag,かばん,tomorrow,あした - 明日,hospital,びょういん - 病院,hot (thing),あつい - 熱い,to return (a thing),かえす - 帰す,glasses,めがね - 眼鏡,party,パーティー,blue,あおい - 青い,subway,ちかてつ - 地下鉄
Japan,にほん,shoes,くつ,today,きょう - 今日,hotel,ホテル,busy (people/days),いそがしい - 忙しい,to turn off; to erase,けす - 消す,song,歌 - うた,barbecue, バーベキュー,red,あかい - 赤い,ship; boat,ふね - 船
U.S.A,アメリカ,wallet,さいふ,morning,あさ - 朝,bookstore,ほんや - 本屋,large,おおきい - 大きい,to die,しぬ - 死ぬ,club activity (university students),サークル,homestay; living with a local family,ホームステイ,black,くろい - 黒い,airplane,ひこうき - 飛行機
...language,~ご,jeans,ジーンズ,tonight,こんばん - 今晩,town; city,まち - 街,small,ちいさい - 小さい,to sit down,すわる - 座る,car,車 - くるま,bath,おふろ - お風呂,white,しろい - 白い,reservation,よやく - 予約
Japanese language,にほんご,bicycle,じてんしゃ,every day,まいにち - 毎日,restaurant,レストラン,interesting; funny,おもしろい - 面白い,to stand up,たつ - 立つ,long,長い - ながい,Spain,スペイン,lonely,さびしい - 寂しい,tour, ツアー
...years old,~さい,newspaper,しんぶん,every night,まいばん - 毎晩,yesterday,きのう - 昨日,boring,つまらない,to smoke,たばこをすう - たばこを吸う,short (length),短い - みじかい,something,なにか - 何か,young,わかい - 若い,zoo,どうぶつえん - 動物園
telephone,でんわ,smartphone; mobile,スマホ,weekend,しゅうまつ - 週末,...hours,~じかん - 時間,easy (problem); kind (person),やさしい - 易しい,to use,つかう - 使う,fast,早い - はやい,skillful; good at...,じょうず(な) - 上手,mean-spirited,いじわる(な) - 意地悪,time,じかん - 時間
number...,~ばん,T-shirt,Ｔシャツ,Saturday,どようび - 土曜日,one hour,いちじかん - 一時間,difficult,むずかしい - 難しい,to help,てつだう - 手伝う,tall (stature),せがたかい - 背が高い,clumsy; poor at...,へた(な) - 下手,to dance [u],おどる - 踊る,world,せかい - 世界
number,ばんごう,watch; clock,とけい,Sunday,にちようび - 日曜日,last week,せんしゅう - 先週,good-looking,かっこいい,to enter,はいる - 入る,short (stature),せがひくい - 背が低い,famous,ゆうめい(な) - 有名,(something) ends [u],おわる - 終わる,beauty parlor,びよういん - 美容院
name,なまえ,notebook,ノート,when,いつ,when...; at the time of...,とき - 時,frightening,こわい - 怖い,to carry; to hold,もつ - 持つ,bright; smart; clever,あたまがいい - 頭がいい,to wash [u],あらう - 洗う,to take medicine [u],くすりをのむ - 薬を飲む,gloves,てぶくろ - 手袋
what,なん/なに,pen,ペン,at about...,~ごろ - 頃,Monday,げつようび - 月曜日,fun,たのしい - 楽しい,to be absent (from...) / to rest,やすむ - 休む,cute,かわいい - 可愛い,to say [u],いう - 言う,to be popular [u],にんきがある - 人気がある,life; living,せいかつ - 生活
um...,あなう,hat; cap,ぼうし,to go (destination),いく - 行く,Tuesday,かようび - 火曜日,inexpensive; cheap (thing),やすい - 安い,to open,あける - 開ける,kind ,しんせつ(な) - 親切,to need [u],いる - 要る,(something) begins [u],はじまる - 始まる,living organism,いのち - 命
yes,はい,book,ほん - 本,to go back; to return,かえる - 帰る,Wednesday,すいようび - 水曜日,fond of; to like,すき(な) - 好き,to close,しめる - 閉める,convenient,べんり(な) - 便利,to be late [u],おそくなる - 遅くなる,to play (a string instrument or piano) [u],ひく - 弾く,this year,ことし - 今年
That's right.,そうです,bank,ぎんこう - 銀行,to listen; to hear,きく - 聞く,Thursday,もくようび - 木曜日,disgusted with; to dislike,きらい(な) - 嫌い,to teach; to instruct,おしえる - 教える,to sing,うたう - 歌う,to take a bath [u],おふろにはいる - お風呂に入る,to get (from somebody) [u],もらう,warm,あたたかい - 暖かい
I see.; Is that so?,そうですか,convenience store,コンビニ,to drink,のむ - 飲む,Friday,きんようび - 金曜日,very fond of; to love,だいすき(な) - 大好き,to forget; to leave behind,わすれる - 忘れる,to put on (a hat),かぶる - 被る,to think [u],おもう - 思う,to memorize [ru],おぼえる - 覚える,cool (weather - not used for things),すずしい - 涼しい
Britain,イギリス,toilet; restroom,トイレ,to speak; to talk,はなし - 話す,to meet; to see (a person),あう - 会う,to hate,だいきらい(な) - 大嫌い,to get off,おりる - 降りる,to put on (below waist),はく,to cut [u],きる - 切る,to appear; to attend; to exit [ru],でる - 出る,cold (things/people),つめたい - 冷たい
Australia,オーストラリア,library,としょかん - 図書館,to read,よむ - 読む,there is...,ある - 在る,beautiful; clean,きれい(な) - 綺麗な,to borrow,かりる - 借りる,to get to know,しる - 知る,to make [u],つくる - 作る,to exercise [ir],うんどうする - 運動する,slow; late,おそい - 遅い
Korea,かんこく,post office,ゆうびんきょく,to get up,おきる - 起きる,to buy,かう - 買う,healthy; energetic,げんき(な) - 元気,to take a shower,シャワーをあびる - シャワーを浴びる,I know,しってます - 知ってます,(rain/snow) falls [u],(あめ/ゆきが)ふる - (雨/雪が)降る,to take a walk [ir],さんぽする - 散歩する,sleepy,ねむい - 眠い
Canada,カナダ,English (language),えいご - 英語,to eat,たべる - 食べる,to write,かく - 書く,quiet, しずか(な) - 静か,to turn on,つける - 付ける,I do not know,しりません - 知りません,to take (a thing) [u],もっていく - 持って行く,(I think) so,そう,easy; simple,かんたん(な) - 簡単
China,ちゅうごく,mother,おかあさん - 母 / お母さん,to sleep; to go to sleep,ねる - 寝る,to take (a picture),とる - 撮る,lively,にぎやか(な),to call,でんわする - 電話する,to live,すむ - 住む,to throw away [ru],すてる - 捨てる,from...,~から,to take (amount of time/money) [u],かかる - 掛かる
India,インド,father,おとうさん - 父 / お父さん,to see; to look at; to watch,みる - 見る,to wait,まつ - 待つ,not busy; free (time),ひま(な) - 暇,to bring (a person),つれてくる - 連れてくる,to work,はたらく - 働く,to begin [ru],はじめる - 始める,to (a place/a time),~まで,to stay [u],とまる - 泊まる
Egypt,エジプト,how much,いくら,to come (destination),くる - 来る,to understand,わかる - 分かる,to swim,およぐ - 泳ぐ,to bring (a thing),もってくる - 持ってくる,to gain weight,ふとる - 太る,to drive [ir],うんてんする - 運転する,by all means,ぜひ - 是非,to become [u],なる - 成る
Philippines,フィリピン,...yen,えん - 円,to do,する,(a person) is in...; stays at...,いる,to ask,きく - 聞く,later on,あとで - 後で,overweight,ふとっています - 太っています,to do laundry [ir],せんたくする - 洗濯する,by the way,ところで,to decide [ru],きめる - 決める
Asian studies,アジアけんきゅう,expensive; high,たかい - 高い,to study,べんきょうする - 勉強する,about (approximate),~ぐらぃ,to ride; to board,のる - 乗る,right away,すぐ - 直ぐ,to put on (glasses),(わがれを)かける,to clean [ir],そうじする - 掃除する,all,みんな - 皆,to chill out at home; to stay home and do nothing [ir],ごろごろする
economics,けいざい,Welcome (to our store),いらっしゃいませ,good,いい,I'm sorry.,ごめんなさい,to do; to perform,やる,slowly; leisurely; unhurriedly,ゆっくり,to put on (above waist),きる - 切る,to cook [ir],りょうりする - 料理する,already,もう,to travel [ir],りょこうする - 旅行する
engineering,こうがく,...please,おねがいします,early,はやい - 早い,and then,それから,to go out,でかける - 出かける,That would be fine.,けっこうです - 結構です,to lose weight,やせる,uh-huh; yes,うん,one (for counting small items),一つ - ひとつ,to practice [ir],れんしゅうする - 練習する
international relations,こくさいかんけい,Please give me...,ください,not much,あまり + negative,so; therefore,だから,together,いっしょに - 一緒に,Really?,ほんとうですか - 本当ですか,to be thin,やせてます,uh-uh; no,ううん,two (for counting small items),二つ - ふたつ,best,一番 - いちばん
computer,コンピューター,then...; if that is the case...,じゃぁ,not at all,ぜんぜん + negative,many; a lot,たくさん,extremely,すごく,X,X,to get married,けっーこんする - 結婚する,always,いつも,three (for counting small items),三つ - みっつ,which,どっち/どちら - 何方
politics,せいじ,Please.; Here it is.,どうぞ,usually,たいてい,together with (a person); and,~と,It's okay; Not to worry.;,だいじょうぶ - 大丈夫,X,X,... / but,~が,(do something) late,おそく - 遅く,four (for counting small items),四つ - よっつ,(do something) early; fast,はやく - 早く
biology,せいぶつがく,Thank you.,どうも,a little,ちょっと,why,どうして,very,とても,X,X,not...anything,なにも + negative / 何も,Cheers! (a toast),かんぱい - 乾杯,five (for counting small items),五つ - いつつ,on foot,あるいて - 歩いて
business,ビジネス,a little bit,ちょっと,sometimes,ときどき - 時々,alone,ひとりで,what kind of...,どんな,X,X,[counter for people],~にん - 人,all (of the people) together,みんなで,six (for counting small items),六つ - むっつ,by (means of transportation); with (a tool),~で
literature,ぶんがく,X,X,often; much,よく,Hello? (used on the phone),もしもし,[counter for flat objects],~まい - 枚,X,X,one person,一人 - ひとり,That's too bad.,ざんれん(ですね) - 残念(ですね),seven (for counting small items),七つ - ななつ,how; by what means,どうやって
history,れきし,X,X,That's right.; Let me see.,そうですね,right,右 - みぎ,X,X,X,X,two people,二人 - ふたり,not...yet,まだ + negative,eight (for counting small items),八つ - やっつ,how much; how long,どのぐらい
doctor,いしゃ,X,X,but,でも,left,左 - ひだり,X,X,X,X,nothing in particular,べつに + negative / 別に,about...; concerning...,~について,nine (for counting small items),九つ - ここのつ,for...weeks,~しゅうかん - 週間
office worker,かいしゃいん,X,X,How about...?; How is...?,どうですか,front,前 - まえ,X,X,X,X,of course,もちろん - 勿論,...degrees (temperature),~ど,ten (for counting small items),十 - とお,for...months,~かげつ - か月
X,X,X,X,yes,ええ,back,後ろ - うしろ,X,X,X,X,if you like,よかったら - 良かったら,how,どう,X,X,...years,~ねん - 年
X,X,X,X,X,X,inside,中 - なか,X,X,X,X,X,X,bridge,はし - 橋,X,X,these days,このごろ
X,X,X,X,X,X,on,上 - うえ,X,X,X,X,X,X,"end (of street), edge",はし - 端,X,X,in...time; after...,~ご - 後
X,X,X,X,X,X,under,下 - した,X,X,X,X,X,X,X,X,X,X,or,~か~
X,X,X,X,X,X,near; nearby,近く - ちかく,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,next, 隣 - となり,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,between,間 - あいだ,X,X,X,X,X,X,X,X,X,X,X,X